N_Treatment,Date,Time,Growth_CO2,SampleID,Ca,E,gsw,ALVPD,Ci,Tleaf,Qin,A
low N,17/02/1997,14:15,350,L29(?H),700,1.88,111.9,16.38,586,25.1,390,6.97
low N,17/02/1997,15:00,350,L29(?H),700,2.07,121.8,16.57,556,25.2,500,9.95
low N,17/02/1997,15:30,350,L29(?H),700,2.31,136.8,16.47,566,25.2,704,10.29
low N,17/02/1997,16:40,350,L29(?H),700,2.33,131.1,17.33,544,25.6,1031,11.65
low N,17/02/1997,17:20,350,L29(?H),700,2.18,121.6,17.52,522,25.7,1321,12.5
low N,17/02/1997,17:55,350,L29(?H),700,2.11,113.2,18.21,501,26,1601,13.18
high N,03/02/1997,12:00,700,H17,700,0.99,56,17.23,597,25.6,113,3.06
high N,03/02/1997,13:30,700,H17,700,1.48,85,17.04,538,25.5,390,7.93
high N,03/02/1997,14:05,700,H17,700,1.75,97.8,17.43,543,25.7,500,8.75
high N,03/02/1997,14:35,700,H17,700,1.86,103,17.5,544,25.8,704,9.16
high N,03/02/1997,15:15,700,H17,700,1.92,100.7,18.6,521,26.3,1031,10.4
high N,03/02/1997,15:45,700,H17,700,2.04,105.6,18.8,522,26.4,1321,10.82
high N,03/02/1997,16:20,700,H17,700,1.98,98.3,19.61,512,26.8,1601,10.65
high N,06/02/1997,12:20,700,H20,700,0.39,22.7,6.76,576.1,25.3,113,1.56
high N,06/02/1997,13:50,700,H20,700,0.45,25.9,17.14,457,25.5,390,3.76
high N,06/02/1997,14:20,700,H20,700,0.53,30.1,17.04,469,25.5,500,4.15
high N,06/02/1997,14:55,700,H20,700,0.64,36.2,17.23,483,25.6,704,4.67
high N,06/02/1997,15:20,700,H20,700,0.69,37.9,17.62,468,25.8,1031,5.25
high N,06/02/1997,15:50,700,H20,700,0.64,35,17.81,447,25.9,1321,5.31
high N,06/02/1997,16:25,700,H20,700,0.62,33,18.21,442,26.1,1601,5.12
high N,05/02/1997,13:45,700,H7,700,0.44,23,18.6,573,26.3,113,1.6
high N,05/02/1997,14:02,700,H7,700,0.75,38.6,19,452,26.5,390,5.7
high N,05/02/1997,15:00,700,H7,700,0.88,41.8,20.44,413,27.2,500,7.2
high N,05/02/1997,15:30,700,H7,700,0.88,48.1,17.81,450,25.9,704,7.21
high N,05/02/1997,16:10,700,H7,700,0.97,52.6,18.01,410,26,1031,9.25
high N,05/02/1997,16:45,700,H7,700,0.92,47.6,18.7,412,26.3,1321,8.28
high N,05/02/1997,17:30,700,H7,700,0.87,40.1,21.17,388,27.5,1601,7.56
low N,07/02/1997,12:00,700,L4,700,0.31,17.9,16.76,589,25.3,113,1.08
low N,07/02/1997,13:50,700,L4,700,0.71,40.8,17.04,548,25.5,390,3.53
low N,07/02/1997,14:25,700,L4,700,0.8,45.4,17.23,545,25.6,500,4.01
low N,07/02/1997,15:00,700,L4,700,0.88,49,17.52,538,25.7,704,4.55
low N,07/02/1997,15:30,700,L4,700,1.05,55.3,18.5,540,26.2,1031,5.02
low N,07/02/1997,16:45,700,L4,700,0.99,50.9,19,543,26.5,1321,4.49
low N,07/02/1997,17:25,700,L4,700,0.96,47.2,19.92,530,26.9,1601,4.55
low N,08/02/1997,14:25,700,L19,700,0.49,28.4,16.76,595,25.3,113,1.6
low N,08/02/1997,15:35,700,L19,700,0.69,39,17.14,492,25.5,390,4.8
low N,08/02/1997,16:15,700,L19,700,0.76,42.3,17.43,390,25.6,500,8
low N,08/02/1997,17:15,700,L19,700,0.8,44.8,17.43,403,25.7,704,8.09
low N,08/02/1997,18:30:00,700,L19,700,0.87,47,18.11,380,26,1031,9.16
low N,08/02/1997,19:00,700,L19,700,0.88,46.5,18.4,371,26.1,1321,9.33
low N,08/02/1997,19:30,700,L19,700,0.94,48.1,19,381,26.4,1601,9.33
low N,10/02/1997,12:55,700,L17,700,0.25,14.7,16.66,290,25.3,113,1.46
low N,10/02/1997,14:00,700,L17,700,0.26,15.1,16.75,210,25.4,113,2.56
low N,10/02/1997,14:20,700,L17,700,0.46,26.7,16.94,423,25.5,390,4.47
low N,10/02/1997,15:30,700,L17,700,0.5,28.6,16.94,396,25.5,500,5.29
low N,10/02/1997,16:15,700,L17,700,0.6,34.3,16.94,448,25.5,704,5.2
low N,10/02/1997,16:50,700,L17,700,0.69,38.7,17.52,441,25.8,1031,6.02
low N,10/02/1997,17:20,700,L17,700,0.68,37.4,17.62,429,25.8,1321,6.11
low N,10/02/1997,18:00,700,L17,700,0.72,39.2,18.01,429,26,1601,6.39
low N,12/02/1997,13:55,700,L15,700,0.49,26.7,17.91,544,26,113,2.36
low N,12/02/1997,15:15,700,L15,700,0.8,45.3,17.13,544,25.6,390,4.05
low N,12/02/1997,16:10,700,L15,700,0.94,52.3,17.52,544,25.8,500,4.64
low N,12/02/1997,16:45,700,L15,700,1.03,52,19.41,494,26.7,704,6.25
low N,12/02/1997,17:25,700,L15,700,1.1,53.9,19.82,498,26.9,1031,6.33
low N,12/02/1997,18:00,700,L15,700,1.12,55,19.92,497,26.9,1321,6.5
low N,12/02/1997,18:40,700,L15,700,1.15,55.9,20.12,499,27,1601,6.5
