"record","time","date","Machine","SampleID","Remove","A","Ci","VPDleaf","Tair","Tleaf","CO2r","CO2s","H2Or","H2Os","RHs","flow","Qin","Patm","gsw"
"10","08:53:16","20220228","Bernie","BNL20397","NO",11.6,282,2.06,30.36,29.94,415.72,400.08,17.431,21.713,50.27,500.7,800,100.7,185
"11","08:55:17","20220228","Bernie","BNL20397","NO",9.29,288,2.11,30.6,29.96,412.85,400.19,17.532,21.25,48.54,500.7,600,100.7,155
"12","08:57:18","20220228","Bernie","BNL20397","NO",6.44,304,2.14,31.01,29.86,409.17,400.17,17.606,20.753,46.32,500.7,401,100.7,129
"13","08:59:19","20220228","Bernie","BNL20397","NO",4.63,313,2.22,31.22,30.01,406.84,400.21,17.687,20.331,44.84,500.6,301,100.7,103
"14","09:01:20","20220228","Bernie","BNL20397","NO",2.71,332,2.27,31.27,30.05,404.07,399.94,17.78,19.929,43.82,500.6,200,100.7,81.3
"15","09:03:21","20220228","Bernie","BNL20397","NO",0.873,363,2.29,31.22,30.01,401.54,399.81,17.895,19.583,43.19,500.6,119,100.7,62.7
"16","09:05:22","20220228","Bernie","BNL20397","NO",-0.16,391,2.31,31.03,29.95,400.38,400.05,18.003,19.28,42.98,500.6,81,100.7,46.9
"17","09:07:23","20220228","Bernie","BNL20397","NO",-0.976,430,2.33,31.02,29.95,399.33,400.11,18.101,19.051,42.48,500.6,51,100.7,34.3
"18","09:09:24","20220228","Bernie","BNL20397","NO",-1.67,488,2.35,31.03,29.99,398.35,400.06,18.202,18.922,42.17,500.6,30,100.7,25.7
"19","09:11:25","20220228","Bernie","BNL20397","NO",-2.03,548,2.36,31.04,30,397.64,399.85,18.295,18.849,42,500.6,21,100.7,19.6
"20","09:13:26","20220228","Bernie","BNL20397","NO",-2.49,640,2.38,31.06,30.04,397.13,399.93,18.364,18.801,41.84,500.7,10,100.7,15.4
"21","09:15:27","20220228","Bernie","BNL20397","NO",-3.02,767,2.39,31.02,30.1,396.44,399.92,18.459,18.816,41.95,500.7,-1,100.7,12.5
"1","12:43:18","20220228","Bernie","BNL20402","YES",6.63,227,2.62,27.53,30.93,400.09,391.26,16.358,18.582,50.62,500.6,2001,100.6,72.2
"2","13:15:54","20220228","Bernie","BNL20402","YES",10.3,255,2.32,25.29,30.09,413.71,399.9,16.115,19.579,60.82,500.6,2000,100.5,130
"3","13:17:55","20220228","Bernie","BNL20402","YES",10.3,254,2.3,25.26,30.01,413.66,399.99,16.102,19.486,60.67,500.6,2001,100.5,128
"4","13:19:56","20220228","Bernie","BNL20402","NO",10.2,253,2.33,25.31,30.12,413.42,399.88,16.124,19.489,60.49,500.6,1999,100.5,126
"5","13:21:57","20220228","Bernie","BNL20402","NO",9.87,252,2.29,25.68,29.9,413.18,400.06,16.175,19.356,58.75,500.6,1701,100.5,121
"6","13:23:58","20220228","Bernie","BNL20402","NO",9.52,249,2.3,26.34,29.91,412.61,399.96,16.23,19.268,56.24,500.6,1500,100.5,114
"7","13:25:59","20220228","Bernie","BNL20402","NO",9.24,246,2.34,26.65,30.03,412.38,400.12,16.29,19.205,55.04,500.6,1400,100.5,108
"8","13:28:00","20220228","Bernie","BNL20402","NO",8.74,244,2.33,27.04,29.95,411.56,399.97,16.332,19.054,53.38,500.6,1201,100.5,100
"9","13:30:01","20220228","Bernie","BNL20402","NO",8.1,242,2.34,27.62,29.88,410.89,400.17,16.347,18.837,51.01,500.6,1000,100.5,91.4
"10","13:32:02","20220228","Bernie","BNL20402","NO",7.26,240,2.36,28.34,29.87,409.64,400.03,16.342,18.578,48.26,500.6,801,100.5,80.9
"11","13:34:03","20220228","Bernie","BNL20402","NO",6.1,242,2.4,28.88,29.92,408.22,400.12,16.347,18.284,46,500.6,601,100.5,68.6
"12","13:36:04","20220228","Bernie","BNL20402","NO",4.56,254,2.43,29.29,29.9,406.02,399.91,16.355,17.963,44.16,500.6,400,100.5,56
"13","13:38:05","20220228","Bernie","BNL20402","NO",3.28,266,2.47,29.44,29.93,404.68,400.22,16.383,17.673,43.06,500.6,300,100.5,44
"14","13:40:06","20220228","Bernie","BNL20402","NO",1.95,294,2.49,29.66,29.93,402.84,400.09,16.403,17.422,41.91,500.6,200,100.5,34.3
"15","13:42:07","20220228","Bernie","BNL20402","NO",0.676,343,2.51,29.84,29.92,401.22,400.08,16.414,17.206,40.97,500.6,120,100.5,26.4
"16","13:44:08","20220228","Bernie","BNL20402","NO",-0.0756,390,2.53,29.86,29.9,400.36,400.2,16.41,17.02,40.48,500.6,80,100.5,20.1
"17","13:46:09","20220228","Bernie","BNL20402","NO",-0.662,452,2.54,29.87,29.91,399.42,400.02,16.399,16.867,40.08,500.6,50,100.5,15.3
"18","13:48:10","20220228","Bernie","BNL20402","NO",-1.18,543,2.55,29.86,29.87,398.8,400.07,16.375,16.734,39.79,500.6,31,100.5,11.7
"19","13:50:11","20220228","Bernie","BNL20402","NO",-1.5,640,2.56,29.95,29.87,398.4,400.09,16.351,16.635,39.36,500.6,19,100.5,9.23
"20","13:52:12","20220228","Bernie","BNL20402","NO",-1.77,742,2.56,30.12,29.86,398,400.02,16.314,16.553,38.76,500.6,9,100.5,7.74
"21","13:54:13","20220228","Bernie","BNL20402","NO",-2.13,879,2.58,30.29,29.91,397.52,399.99,16.286,16.496,38.26,500.7,-1,100.5,6.76
"22","13:57:34","20220228","Bernie","BNL20402","YES",0.578,136,3.27,26.95,32.53,400.85,400.1,16.328,16.475,46.37,500.6,1999,100.5,3.7
"1","11:25:51","20220228","Mariano","BNL20403","YES",-1.77,752,2.13,29.74,29.95,400.02,402.07,20.817,21.013,50.5,500.2,0,100.9,7.68
"2","12:07:29","20220228","Mariano","BNL20403","YES",16.1,288,1.83,27.68,30.21,400.13,378.06,17.692,24.666,66.76,500.2,1999,100.8,358
"3","12:09:38","20220228","Mariano","BNL20403","YES",15.8,291,1.78,27.4,29.96,399.84,378.26,17.59,24.478,67.34,500.2,2000,100.8,363
"4","12:11:39","20220228","Mariano","BNL20403","NO",15.7,292,1.78,27.36,29.89,399.82,378.38,17.539,24.378,67.2,500.2,1999,100.8,361
"5","12:13:46","20220228","Mariano","BNL20403","NO",15.2,291,1.8,28.13,29.84,400.12,379.36,17.479,24.046,63.4,500.2,1701,100.8,340
"6","12:15:47","20220228","Mariano","BNL20403","NO",14.9,288,1.85,28.69,29.95,400,379.68,17.442,23.801,60.73,500.1,1500,100.8,318
"7","12:17:48","20220228","Mariano","BNL20403","NO",14.6,286,1.89,28.78,30.03,399.79,379.89,17.418,23.632,59.98,500.1,1399,100.8,303
"8","12:19:50","20220228","Mariano","BNL20403","NO",14.2,284,1.9,28.97,29.98,400.43,381.05,17.426,23.347,58.59,500.2,1201,100.8,285
"9","12:21:51","20220228","Mariano","BNL20403","NO",13.5,283,1.93,29.28,29.95,400.05,381.74,17.434,23.012,56.72,500.2,1000,100.8,263
"10","12:23:52","20220228","Mariano","BNL20403","NO",12.6,282,1.97,29.59,29.95,400.05,382.95,17.448,22.645,54.85,500.2,800,100.8,238
"11","12:25:53","20220228","Mariano","BNL20403","NO",11.3,285,2.02,29.92,30.09,399.92,384.49,17.513,22.396,53.21,500.2,599,100.8,216
"12","12:27:57","20220228","Mariano","BNL20403","NO",9.3,294,2.05,29.98,30.04,400.1,387.18,17.589,22.024,52.16,500.2,401,100.8,192
"13","12:29:58","20220228","Mariano","BNL20403","NO",7.61,300,2.1,30.1,30.03,400.1,389.41,17.601,21.55,50.69,500.2,301,100.8,166
"14","12:31:59","20220228","Mariano","BNL20403","NO",5.24,317,2.15,30.22,30.02,400.03,392.37,17.595,21.021,49.1,500.2,199,100.8,139
"15","12:34:00","20220228","Mariano","BNL20403","NO",2.94,340,2.22,30.39,30.08,400.14,395.43,17.564,20.5,47.43,500.2,121,100.8,115
"16","12:36:01","20220228","Mariano","BNL20403","NO",1.41,358,2.28,30.38,30.12,399.8,397.12,17.529,19.966,46.19,500.1,80,100.8,91.7
"17","12:38:02","20220228","Mariano","BNL20403","NO",0.328,377,2.34,30.37,30.13,400.14,398.95,17.476,19.422,44.97,500.1,50,100.8,70.9
"18","12:40:09","20220228","Mariano","BNL20403","NO",-0.774,409,2.39,30.34,30.1,400.12,400.45,17.398,18.856,43.73,500.2,30,100.7,51.6
"19","12:42:10","20220228","Mariano","BNL20403","NO",-1.32,442,2.43,30.32,30.11,400.05,401.19,17.33,18.402,42.72,500.3,19,100.7,37
"20","12:44:23","20220228","Mariano","BNL20403","NO",-1.97,505,2.48,30.32,30.12,399.55,401.6,17.235,18.006,41.81,500.2,10,100.7,26
"21","12:46:24","20220228","Mariano","BNL20403","NO",-2.47,589,2.51,30.32,30.13,400.16,402.89,17.166,17.743,41.18,500.2,0,100.7,19.2
"1","08:56:59","20220301","Andy","BNL20412","YES",7.96,327,1.81,23.29,27.34,412.86,401.57,14.022,18.265,64.77,500.1,3325,100.9,212
"2","09:08:06","20220301","Andy","BNL20412","YES",7.2,314,1.83,23.2,26.3,409.97,399.98,12.553,15.869,56.1,500.1,2001,100.9,160
"3","09:11:27","20220301","Andy","BNL20412","YES",8.14,311,1.83,19.73,26.41,411.23,400,12.55,16.149,70.62,500.1,3324,100.9,175
"4","09:14:48","20220301","Andy","BNL20412","NO",6.94,315,1.72,22.72,25.53,409.54,399.98,12.46,15.496,56.43,500.1,2001,100.9,157
"5","09:16:49","20220301","Andy","BNL20412","NO",6.72,315,1.77,23.69,25.78,409.32,400.02,12.422,15.446,53.04,500.1,1701,100.9,151
"6","09:18:50","20220301","Andy","BNL20412","NO",6.56,314,1.82,24.2,25.99,409.07,399.98,12.389,15.403,51.3,500.1,1501,100.9,146
"7","09:20:51","20220301","Andy","BNL20412","NO",6.53,314,1.84,24.41,26.07,409.1,400.04,12.358,15.369,50.55,500.1,1401,101,144
"8","09:22:52","20220301","Andy","BNL20412","NO",6.25,315,1.83,24.62,25.97,408.75,400.05,12.332,15.27,49.59,500.1,1200,100.9,142
"9","09:24:53","20220301","Andy","BNL20412","NO",5.91,318,1.82,25.05,25.9,408.33,400.08,12.296,15.171,48.04,500.1,999,101,139
"10","09:26:54","20220301","Andy","BNL20412","NO",5.57,320,1.83,25.52,25.89,407.84,400.01,12.257,15.075,46.41,500.1,800,101,135
"11","09:28:55","20220301","Andy","BNL20412","NO",5.01,325,1.85,26.09,25.94,407.2,400.06,12.231,14.992,44.61,500.1,600,101,131
"12","09:30:56","20220301","Andy","BNL20412","NO",4.14,334,1.87,26.58,25.97,406.15,400.09,12.211,14.89,43.06,500.1,401,101,126
"13","09:32:57","20220301","Andy","BNL20412","NO",3.49,340,1.89,26.78,26.02,405.13,399.9,12.186,14.772,42.21,500.1,301,101,120
"14","09:34:58","20220301","Andy","BNL20412","NO",2.46,352,1.89,26.82,25.98,403.85,399.9,12.164,14.611,41.66,500.1,200,101,112
"15","09:36:59","20220301","Andy","BNL20412","NO",1.13,370,1.91,26.97,25.97,402.35,400.06,12.141,14.424,40.76,500,120,101,104
"16","09:39:00","20220301","Andy","BNL20412","NO",0.308,382,1.94,26.99,25.98,401.28,400.06,12.113,14.206,40.1,500.1,80,101,93.4
"17","09:41:01","20220301","Andy","BNL20412","NO",-0.503,398,1.96,27,26,400.31,400.16,12.095,13.97,39.41,500.1,50,101,82.1
"18","09:43:02","20220301","Andy","BNL20412","NO",-1.06,411,1.99,27.01,26.03,399.45,400.05,12.081,13.734,38.73,500.1,30,101,71
"19","09:45:03","20220301","Andy","BNL20412","NO",-1.43,425,2.02,27.01,26.06,399.01,400.14,12.062,13.503,38.07,500.1,21,101,60.7
"20","09:47:04","20220301","Andy","BNL20412","NO",-1.73,440,2.05,27.02,26.09,398.35,399.91,12.046,13.295,37.47,500.1,11,101,51.7
"21","09:49:05","20220301","Andy","BNL20412","NO",-2.1,463,2.07,27,26.08,398.03,400.11,12.026,13.104,36.96,500.1,0,101,44.1
"1","07:59:32","20220301","Derek","BNL20411","YES",0.573,327,1.48,24.91,26.68,400.54,399.75,19.881,20.136,64.25,499.6,1999,100.9,14.4
"2","08:43:35","20220301","Derek","BNL20411","NO",1.56,297,1.34,23.11,25.86,401.98,399.94,19.475,19.894,70.72,500.4,2000,100.9,26.5
"3","08:45:54","20220301","Derek","BNL20411","YES",1.31,319,1.33,24.15,25.85,401.93,400.17,19.48,19.933,66.57,500.4,1500,100.9,28.8
"4","08:48:33","20220301","Derek","BNL20411","NO",1.5,310,1.36,24.19,26.01,402.21,400.21,19.509,19.984,66.6,500.4,1500,100.9,29.6
"5","08:50:51","20220301","Derek","BNL20411","NO",1.99,287,1.34,24.19,25.91,402.4,399.82,19.543,20.028,66.73,500.4,1400,100.9,30.7
"6","08:54:12","20220301","Derek","BNL20411","NO",1.79,307,1.35,24.75,26,402.26,399.89,19.523,20.065,64.68,500.4,1201,101,34.1
"7","08:56:30","20220301","Derek","BNL20411","NO",2.09,294,1.34,24.98,25.95,402.54,399.81,19.521,20.067,63.77,500.4,1001,100.9,34.6
"8","08:58:56","20220301","Derek","BNL20411","NO",1.53,325,1.32,25.28,25.9,402.1,400.02,19.523,20.099,62.77,500.4,799,101,36.9
"9","09:00:57","20220301","Derek","BNL20411","NO",1.49,328,1.33,25.75,25.93,401.94,399.92,19.509,20.099,61.02,500.4,600,101,37.6
