time,date,Machine,SampleID,Remove,A,Ci,VPDleaf,Tair,Tleaf,TBlk,CO2r,CO2s,H2Or,H2Os,RHs,flow,Qin,Patm
19:26:39,20200122,Andy,BNL17182,NO,-0.41,411,1.47,31.19,29.52,31.96,390,390.3,26.59,26.97,58.71,500.1,10,99.28
19:24:19,20200122,Andy,BNL17182,NO,0.04,378,1.45,31.19,29.49,31.96,390,389.8,26.62,27.04,58.87,500.1,21,99.29
19:21:59,20200122,Andy,BNL17182,NO,0.45,352,1.44,31.14,29.45,31.92,390,389.2,26.63,27.08,59.13,500.1,39,99.29
19:19:39,20200122,Andy,BNL17182,NO,0.92,328,1.42,31.12,29.42,31.92,389.9,388.6,26.67,27.16,59.36,500.1,61,99.29
19:17:19,20200122,Andy,BNL17182,NO,1.88,280,1.4,30.96,29.37,31.77,389.9,387.4,26.71,27.23,60.06,500.1,125,99.3
19:14:59,20200122,Andy,BNL17182,NO,2.48,258,1.4,30.7,29.4,31.37,390.1,386.9,26.78,27.33,61.22,500.1,199,99.3
19:12:39,20200122,Andy,BNL17182,NO,2.89,249,1.4,30.69,29.44,31.37,390.1,386.4,26.82,27.43,61.44,500.1,251,99.3
19:10:19,20200122,Andy,BNL17182,NO,3.26,244,1.4,30.64,29.49,31.34,389.9,385.7,26.88,27.54,61.9,500.2,374,99.3
19:07:58,20200122,Andy,BNL17182,NO,3.53,243,1.37,30.52,29.4,31.3,389.9,385.4,26.92,27.61,62.49,500.2,499,99.31
19:05:38,20200122,Andy,BNL17182,NO,3.79,240,1.35,29.88,29.31,30.62,390,385.2,26.95,27.67,64.94,500.2,749,99.31
19:03:18,20200122,Andy,BNL17182,NO,3.83,243,1.35,29.32,29.37,29.78,390,385.1,27.02,27.76,67.27,500.2,1000,99.31
19:00:58,20200122,Andy,BNL17182,NO,3.96,245,1.38,29.05,29.54,29.39,390,384.9,27.07,27.87,68.64,500.2,1250,99.32
19:31:20,20200122,Andy,BNL17182,YES,1.53,154,1.48,27.55,29.55,26.97,390,388.1,26.68,26.87,72.15,500.2,1499,99.28
18:54:52,20200122,Andy,BNL17182,YES,4.05,250,1.35,28.32,29.42,28.46,389.9,384.7,27.06,27.89,71.65,500.2,1501,99.32
18:58:37,20200122,Andy,BNL17182,NO,4.03,256,1.31,28.9,29.28,29.26,390,384.9,27.1,27.94,69.42,500.2,1501,99.32
22:18:27,20200122,Bernie,BNL17184,NO,-0.88,419,1.15,30.99,28.8,32.12,389.5,390.3,27.93,28.47,62.59,500,-1,99.16
22:17:56,20200122,Bernie,BNL17184,NO,-0.68,411,1.17,30.94,28.9,31.91,389.6,390.2,27.94,28.49,62.82,499.8,11,99.16
22:17:25,20200122,Bernie,BNL17184,NO,-0.42,400,1.17,30.93,28.89,31.91,390.1,390.4,27.95,28.51,62.94,499.8,20,99.16
22:16:54,20200122,Bernie,BNL17184,NO,-0.07,386,1.16,30.89,28.87,31.97,390.2,390,27.96,28.52,63.11,499.8,30,99.16
22:16:19,20200122,Bernie,BNL17184,NO,0.54,363,1.15,30.82,28.84,31.75,391.6,390.7,27.98,28.57,63.44,499.8,49,99.16
22:15:47,20200122,Bernie,BNL17184,NO,1.29,336,1.16,30.84,28.87,32.06,391.6,389.8,27.99,28.6,63.46,499.7,81,99.16
22:15:13,20200122,Bernie,BNL17184,NO,1.69,324,1.15,30.79,28.84,31.88,392.4,390.2,28,28.63,63.7,499.8,100,99.16
22:14:42,20200122,Bernie,BNL17184,NO,2.22,308,1.13,30.62,28.8,31.67,393.1,390.2,28,28.65,64.34,499.8,126,99.16
22:13:52,20200122,Bernie,BNL17184,NO,3.49,270,1.13,30.44,28.82,31.41,394.4,390,28.01,28.69,65.09,499.9,250,99.16
22:13:02,20200122,Bernie,BNL17184,NO,4.2,249,1.13,30.17,28.81,31.06,395.6,390.3,28.01,28.69,66.12,499.8,376,99.16
22:11:57,20200122,Bernie,BNL17184,NO,4.38,247,1.13,29.91,28.81,30.77,395.6,390,28.02,28.72,67.18,499.9,500,99.16
22:11:07,20200122,Bernie,BNL17184,NO,4.51,247,1.13,29.7,28.81,30.56,395.8,390.1,28.03,28.75,68.09,499.8,601,99.16
22:09:47,20200122,Bernie,BNL17184,NO,4.69,247,1.12,29.23,28.8,29.83,396.2,390.2,28.05,28.79,70.04,499.8,801,99.16
22:09:10,20200122,Bernie,BNL17184,NO,4.88,241,1.12,28.96,28.81,29.5,396.2,390,28.05,28.8,71.19,500,1000,99.16
22:07:44,20200122,Bernie,BNL17184,YES,5.28,226,1.12,28.33,28.8,28.69,396.5,389.9,28.06,28.79,73.77,499.8,1250,99.16
21:53:54,20200122,Bernie,BNL17184,YES,5.43,227,1.2,27.82,28.97,27.67,406.8,400,27.67,28.43,75.06,499.9,1499,99.16
22:20:17,20200122,Bernie,BNL17184,YES,3.55,74.5,1.25,26.89,29.16,24.89,394.3,389.9,28.05,28.33,78.97,499.8,1499,99.16
22:04:44,20200122,Bernie,BNL17184,YES,5.24,209,1.16,27.52,28.93,27.06,396.8,390.2,28.07,28.74,77.23,499.8,1501,99.16
22:05:15,20200122,Bernie,BNL17184,NO,5.16,211,1.14,27.47,28.85,27.08,396.5,390.1,28.08,28.73,77.46,499.8,1501,99.16
21:10:12,20200122,Andy,BNL17185,NO,-1,444,1.46,30.85,29.48,31.53,389.9,390.9,26.52,26.96,59.78,500.1,0,99.18
21:07:50,20200122,Andy,BNL17185,NO,-0.31,398,1.44,30.82,29.41,31.53,389.9,390.1,26.47,26.97,59.89,500.1,11,99.18
21:05:30,20200122,Andy,BNL17185,NO,0.3,367,1.43,30.82,29.4,31.53,390,389.4,26.42,27.04,60.05,500.1,20,99.18
21:03:09,20200122,Andy,BNL17185,NO,1.16,338,1.42,30.82,29.38,31.53,390,388.3,26.38,27.15,60.32,500.1,39,99.18
21:00:47,20200122,Andy,BNL17185,NO,2.11,318,1.41,30.83,29.42,31.53,390,387.1,26.34,27.3,60.6,500.1,61,99.18
20:58:25,20200122,Andy,BNL17185,NO,4.12,279,1.4,30.83,29.44,31.53,390,384.6,26.3,27.45,60.95,500.1,124,99.18
20:56:03,20200122,Andy,BNL17185,NO,5.85,257,1.39,30.82,29.46,31.53,390,382.4,26.27,27.61,61.32,500.1,199,99.19
20:53:41,20200122,Andy,BNL17185,NO,6.75,254,1.37,30.81,29.45,31.53,389.8,381.1,26.24,27.75,61.66,500.2,250,99.19
20:51:19,20200122,Andy,BNL17185,NO,8.05,244,1.36,30.77,29.44,31.53,389.9,379.6,26.23,27.88,62.1,500.2,375,99.19
20:49:18,20200122,Andy,BNL17185,NO,8.51,246,1.34,30.57,29.4,31.3,389.9,379,26.24,27.99,63.07,500.2,501,99.2
20:47:17,20200122,Andy,BNL17185,NO,9.26,246,1.32,30.23,29.37,30.91,390,378.1,26.24,28.13,64.62,500.2,750,99.2
20:45:16,20200122,Andy,BNL17185,NO,9.73,249,1.31,29.87,29.39,30.44,390,377.5,26.25,28.28,66.33,500.2,1001,99.2
20:43:15,20200122,Andy,BNL17185,NO,10.1,253,1.3,29.52,29.4,30.02,390,377.1,26.25,28.41,68,500.2,1250,99.2
20:38:36,20200122,Andy,BNL17185,YES,10.2,260,1.31,29.19,29.49,29.41,389.7,376.6,26.17,28.52,69.57,500.2,1499,99.21
20:41:14,20200122,Andy,BNL17185,NO,10.3,257,1.3,29.17,29.48,29.51,390,376.7,26.24,28.54,69.73,500.2,1499,99.2
21:12:35,20200122,Andy,BNL17185,YES,2.3,127,1.45,27.17,29.4,26.57,389.8,387,26.66,26.92,73.82,500.2,1499,99.18
23:01:04,20200122,Mariano,BNL17186,NO,-0.92,445,1.68,29.32,28.95,29.95,389.3,390.2,22.99,23.45,56.79,499.6,0,99.21
22:59:03,20200122,Mariano,BNL17186,NO,-0.11,387,1.67,29.29,28.91,29.95,390.3,390.2,23.02,23.49,56.99,499.6,15,99.21
22:57:02,20200122,Mariano,BNL17186,NO,0.61,341,1.65,29.21,28.87,29.97,390.7,389.8,23.05,23.56,57.41,499.5,30,99.21
22:55:01,20200122,Mariano,BNL17186,NO,1.57,290,1.65,29.18,28.87,29.79,392.2,390.1,23.08,23.64,57.69,499.5,59,99.2
22:53:00,20200122,Mariano,BNL17186,NO,2.6,248,1.64,29.18,28.89,29.79,393.4,390.1,23.11,23.73,57.93,499.6,119,99.2
22:50:50,20200122,Mariano,BNL17186,NO,3.48,221,1.63,29.05,28.87,29.59,394.4,389.9,23.15,23.84,58.62,499.6,181,99.19
22:48:49,20200122,Mariano,BNL17186,NO,4.04,218,1.63,29.07,28.92,29.59,395.3,390.2,23.18,23.96,58.87,499.6,250,99.19
22:46:36,20200122,Mariano,BNL17186,NO,4.49,220,1.62,29.06,28.92,29.59,396,390.3,23.2,24.07,59.16,499.6,301,99.19
22:44:28,20200122,Mariano,BNL17186,NO,5.04,215,1.59,28.94,28.87,29.44,396.4,390,23.23,24.17,59.84,499.5,400,99.19
22:42:27,20200122,Mariano,BNL17186,NO,5.56,218,1.58,28.84,28.87,29.28,397.1,390,23.26,24.3,60.5,499.5,499,99.19
22:40:25,20200122,Mariano,BNL17186,NO,5.85,223,1.58,28.84,28.92,29.27,397.4,389.9,23.3,24.43,60.83,499.5,600,99.19
22:38:24,20200122,Mariano,BNL17186,NO,6.11,231,1.56,28.68,28.89,29.09,398,390.2,23.36,24.59,61.75,499.5,750,99.19
22:36:21,20200122,Mariano,BNL17186,NO,6.49,230,1.55,28.59,28.92,28.93,398.5,390.2,23.43,24.72,62.42,499.5,900,99.19
22:34:17,20200122,Mariano,BNL17186,NO,6.48,237,1.55,28.6,28.99,28.93,398.4,390.1,23.51,24.86,62.76,499.4,1001,99.19
22:32:16,20200122,Mariano,BNL17186,NO,6.68,241,1.55,28.6,29.04,28.93,398.7,390.1,23.58,25.01,63.13,499.4,1100,99.19
22:30:15,20200122,Mariano,BNL17186,NO,6.8,246,1.54,28.47,29.06,28.73,398.7,389.9,23.63,25.13,63.91,499.4,1250,99.19
22:15:10,20200122,Mariano,BNL17186,NO,6.77,257,1.57,28.74,29.36,29.06,397.6,388.8,23.95,25.62,64.15,499.6,1492,99.18
23:03:05,20200122,Mariano,BNL17186,YES,2.17,246,1.7,27.74,29.05,27.77,392.7,389.9,22.97,23.5,62.37,499.7,1499,99.22
22:27:58,20200122,Mariano,BNL17186,NO,6.97,249,1.55,28.37,29.14,28.56,399.2,390.2,23.71,25.29,64.68,499.4,1500,99.19
11:18:03,20200123,Lindsey,BNL17187,NO,-2.17,471.44,1.39,30.94,30,28.49,398.3,400.2,28.13,28.72,63.83,600.03,0,99.73
11:17:02,20200123,Lindsey,BNL17187,NO,-1.54,437.51,1.39,30.95,29.97,28.51,398.9,400.2,27.97,28.71,63.77,600.02,10,99.73
11:16:02,20200123,Lindsey,BNL17187,NO,-1.06,421.41,1.39,30.98,29.99,28.52,399.4,400.1,27.92,28.7,63.63,600.03,20,99.73
11:15:01,20200123,Lindsey,BNL17187,NO,-0.61,406.54,1.4,31.01,30.01,28.52,400,400.2,27.76,28.64,63.41,600.03,30,99.73
11:13:53,20200123,Lindsey,BNL17187,NO,0.53,379.72,1.39,30.99,29.96,28.52,401.1,400.1,27.6,28.64,63.46,600.03,50,99.73
11:12:51,20200123,Lindsey,BNL17187,NO,1.78,355.91,1.38,31.04,29.99,28.51,402.4,400.1,27.64,28.76,63.55,600.02,80,99.73
11:11:40,20200123,Lindsey,BNL17187,NO,3.55,332.75,1.41,31.1,30.01,28.5,404.2,400.1,27.13,28.51,62.77,600.03,125,99.73
11:10:32,20200123,Lindsey,BNL17187,NO,5.66,310.56,1.4,31.12,29.99,28.5,406.4,400.1,27.02,28.59,62.9,600.02,200,99.73
11:09:31,20200123,Lindsey,BNL17187,NO,8.07,288.11,1.41,31.14,30.02,28.51,408.8,400,26.77,28.53,62.7,600.03,300,99.73
11:08:28,20200123,Lindsey,BNL17187,NO,9.83,278.59,1.42,31.1,29.99,28.52,410.5,399.9,26.46,28.43,62.62,600.02,400,99.73
11:07:14,20200123,Lindsey,BNL17187,NO,11.8,261.66,1.42,31.09,30.03,28.53,412.5,399.9,26.42,28.48,62.77,600.03,600,99.73
11:06:05,20200123,Lindsey,BNL17187,NO,12.93,255.54,1.42,30.97,29.99,28.54,413.7,399.9,26.2,28.36,62.92,600.03,800,99.74
11:04:56,20200123,Lindsey,BNL17187,NO,13.56,255.5,1.42,30.95,30.02,28.55,414.4,399.9,26.18,28.44,63.17,600.02,1000,99.74
11:03:43,20200123,Lindsey,BNL17187,NO,13.94,255.78,1.42,30.93,30.06,28.56,414.8,399.9,26.24,28.57,63.54,600.02,1200,99.74
11:02:35,20200123,Lindsey,BNL17187,NO,14.28,256.96,1.43,30.74,29.98,28.57,415.1,399.9,25.82,28.25,63.5,600.03,1400,99.74
11:01:25,20200123,Lindsey,BNL17187,NO,14.58,257.93,1.43,30.65,30.03,28.57,415.5,399.9,25.9,28.39,64.18,600.03,1700,99.74
11:19:03,20200123,Lindsey,BNL17187,YES,4.16,263.4,1.69,31.37,31.19,28.49,404,399.5,27.82,28.72,62.27,600.02,1800,99.73
10:59:03,20200123,Lindsey,BNL17187,YES,14.84,264.79,1.39,30.45,29.99,28.56,415.9,400,26.06,28.65,65.49,600.02,2000,99.74
11:00:05,20200123,Lindsey,BNL17187,NO,14.83,253.76,1.43,30.57,30.1,28.56,415.6,399.8,26.16,28.61,64.96,600.04,2000,99.74
16:24:28,20200123,Andy,BNL17188,NO,-1.2,442,1.28,30.86,29.02,31.58,398.9,400.1,27,27.6,61.35,500.2,0,99.48
16:22:56,20200123,Andy,BNL17188,NO,-0.69,420,1.28,30.89,29.03,31.73,399.5,400.1,27.01,27.62,61.3,500.2,11,99.48
16:21:26,20200123,Andy,BNL17188,NO,-0.2,399,1.27,30.87,28.99,31.73,400.1,400.1,27.02,27.66,61.44,500.2,21,99.49
16:20:06,20200123,Andy,BNL17188,NO,0.21,385,1.26,30.86,28.97,31.73,400.6,400.1,27.01,27.72,61.6,500.2,31,99.49
16:18:35,20200123,Andy,BNL17188,NO,0.99,361,1.24,30.84,28.92,31.73,401.4,399.9,27,27.77,61.78,500.2,50,99.49
16:17:14,20200123,Andy,BNL17188,NO,1.76,345,1.23,30.83,28.9,31.73,402.5,400,26.98,27.86,62.05,500.1,80,99.49
16:15:40,20200123,Andy,BNL17188,NO,2.94,327,1.22,30.83,28.93,31.73,403.8,399.9,26.99,28.05,62.46,500.2,125,99.49
16:14:18,20200123,Andy,BNL17188,NO,4.52,305,1.2,30.8,28.92,31.73,405.9,400,26.98,28.17,62.84,500.1,199,99.49
16:12:56,20200123,Andy,BNL17188,NO,6.08,287,1.19,30.75,28.92,31.73,408,400.1,26.98,28.29,63.26,500.2,300,99.49
16:11:34,20200123,Andy,BNL17188,NO,7.24,274,1.15,30.5,28.74,31.62,408.7,399.5,26.97,28.31,64.24,500.2,401,99.49
16:10:29,20200123,Andy,BNL17188,NO,7.95,266,1.15,30.08,28.78,31.03,410.1,399.9,26.99,28.37,65.97,500.2,599,99.49
16:09:28,20200123,Andy,BNL17188,NO,8.54,260,1.14,29.64,28.78,30.59,410.7,399.9,27,28.41,67.73,500.2,801,99.49
16:07:59,20200123,Andy,BNL17188,NO,9.03,256,1.14,29.18,28.76,30.03,411.3,399.8,27.02,28.46,69.69,500.2,1000,99.49
16:06:51,20200123,Andy,BNL17188,NO,9.24,254,1.15,28.83,28.84,29.51,411.8,400.1,27.04,28.51,71.23,500.2,1200,99.49
16:04:49,20200123,Andy,BNL17188,YES,9.38,257,1.12,28.35,28.72,29.1,411.9,400,27.06,28.54,73.34,500.2,1401,99.49
16:05:50,20200123,Andy,BNL17188,NO,9.39,254,1.17,28.57,28.94,29.16,411.7,399.9,27.04,28.55,72.42,500.2,1401,99.49
16:03:00,20200123,Andy,BNL17188,NO,9.62,253,1.12,27.44,28.75,27.89,412.2,400,27.1,28.58,77.43,500.2,1700,99.5
16:27:22,20200123,Andy,BNL17188,YES,2.31,207,1.35,25.87,29.26,25.08,403.7,400.8,27.13,27.46,81.57,500.2,1799,99.48
15:27:25,20200123,Andy,BNL17188,YES,4.64,258,1.21,26.49,28.88,26.49,405.8,399.9,27.16,27.96,80.09,500.3,1999,99.5
15:59:00,20200123,Andy,BNL17188,YES,9.81,238,1.23,26.99,29.22,26.75,412.5,400.1,27.11,28.61,79.58,500.2,1999,99.5
16:00:01,20200123,Andy,BNL17188,YES,9.89,239,1.19,26.82,29.08,26.78,412.5,400,27.12,28.59,80.32,500.2,1999,99.5
16:01:02,20200123,Andy,BNL17188,NO,9.81,242,1.17,26.78,28.97,26.78,412.5,400.1,27.12,28.58,80.5,500.2,1999,99.49
15:40:48,20200123,Bernie,BNL17189,NO,-2.16,476,1.23,31.36,29.01,32.38,397.8,400.1,27.45,28.06,60.63,499.9,-1,99.52
