VNR (experiment no),ART (Species code),Species,BLT ,Julian Day,Date,Stand,SampleID,Predawn water potential bar ,"Instantaneous water potential, psi bar ",Patm,Tleaf,rFmBl % ,rFoBl % ,CO2r,Bta Grad C ,LtoB Grad C ,ALVPD,CO2s,TrOf mmol m-2 s-1 ,gsw,Bti Grad C ,Ci,Qin,A
40,82,Quercus coccifera,2,30,30/01/1983 14:06,QSP,40_82_2_QSP,-7.5,-24.2,1040,22.6,52.4, ,330,, ,14.038,317,0.9946,70.9,23.4,188,895,5.4906
40,82,Quercus coccifera,2,30,30/01/1983 12:11,QSP,40_82_2_QSP,-7.5,-22.7,1040,18,62.4, ,330,, ,11.383,317,0.665,58.4,20.8,148,1029,6.0305
40,82,Quercus coccifera,2,30,30/01/1983 13:05,QSP,40_82_2_QSP,-7.5,-21.1,1040,20.2,58.4, ,330,, ,12.921,316,0.8712,67.4,22.4,171,1238,5.8876
40,82,Quercus coccifera,3,30,30/01/1983 18:12,QSP,40_82_3_QSP,-7.5, ,1040,14.7,63.6, ,330,, ,5.824,331,0.0559,9.6,14.6,446,1,-0.7085
40,82,Quercus coccifera,3,30,30/01/1983 08:58,QSP,40_82_3_QSP,-7.5,-9,1040,9.2,57.6, ,330,, ,5.113,329,0.7474,146.2,9.6,320,62,0.5474
40,82,Quercus coccifera,3,30,30/01/1983 17:17,QSP,40_82_3_QSP,-7.5,-13.9,1040,17.2,59.5, ,330,, ,7.983,329,0.1807,22.6,17.4,297,71,0.4011
40,82,Quercus coccifera,3,30,30/01/1983 09:48,QSP,40_82_3_QSP,-7.5,-9.8,1040,11.7,49.5, ,330,, ,7.029,328,0.4885,69.5,12,300,155,1.0632
40,82,Quercus coccifera,3,30,30/01/1983 16:34,QSP,40_82_3_QSP,-7.5,-19.3,1040,19.2,56.9, ,330,, ,9.61,329,0.3281,34.1,19.4,286,172,0.8039
40,82,Quercus coccifera,3,30,30/01/1983 10:46,QSP,40_82_3_QSP,-7.5,-13.8,1040,16.5,40.5, ,330,, ,11.466,326,0.5341,46.6,17,231,435,2.6284
40,82,Quercus coccifera,3,30,30/01/1983 15:20,QSP,40_82_3_QSP,-7.5,-28.5,1040,23.7,49.5, ,330,, ,14.76,325,0.9808,66.4,23.9,247,649,2.9334
40,82,Quercus coccifera,3,30,30/01/1983 13:08,QSP,40_82_3_QSP,-7.5,-21,1040,19.9,57.6, ,330,, ,10.742,321,0.7634,71.1,20.7,182,1016,6.0079
40,82,Quercus coccifera,3,30,30/01/1983 12:17,QSP,40_82_3_QSP,-7.5,-22.5,1040,18.4,59.1, ,330,, ,10.033,320,0.543,54.1,19.6,153,1046,5.5387
40,82,Quercus coccifera,3,30,30/01/1983 14:09,QSP,40_82_3_QSP,-7.5,-24.4,1040,23.7,49.4, ,330,, ,15.314,320,1.0927,71.4,24.2,181,1052,5.9038
77,82,Quercus coccifera,1,70,11/03/1983 18:55,QSP,77_82_1_QSP, , ,1042,12.3,75.5, ,330,, ,3.406,331,0.0202,5.9,12.3,394,1,-0.2424
77,82,Quercus coccifera,1,70,11/03/1983 18:30,QSP,77_82_1_QSP, , ,1042,13.7,77.7, ,330,, ,3.497,330,0.009,2.6,13.8,238,16,0.1445
77,82,Quercus coccifera,1,70,11/03/1983 18:00,QSP,77_82_1_QSP, , ,1042,16,72.8, ,330,, ,4.92,325,0.1396,28.4,16.1,200,135,2.1817
77,82,Quercus coccifera,1,70,11/03/1983 08:20,QSP,77_82_1_QSP, , ,1042,13.5,82.7, ,330,, ,2.407,321,0.5175,215,13.3,290,244,4.0284
77,82,Quercus coccifera,1,70,11/03/1983 09:00,QSP,77_82_1_QSP, , ,1042,13.8,83.3, ,330,, ,2.661,319,0.4326,162.6,13.9,269,315,4.9524
77,82,Quercus coccifera,1,70,11/03/1983 09:30,QSP,77_82_1_QSP, , ,1042,14.4,81.5, ,330,, ,2.95,321,0.3231,109.5,14.4,256,339,4.3272
77,82,Quercus coccifera,1,70,11/03/1983 10:00,QSP,77_82_1_QSP, , ,1042,14.8,83.4, ,330,, ,3.251,319,0.413,127,15.3,255,343,4.9475
77,82,Quercus coccifera,1,70,11/03/1983 17:30,QSP,77_82_1_QSP, , ,1042,18.1,67.4, ,330,, ,6.965,321,0.3033,43.5,18.4,165,405,4.1546
77,82,Quercus coccifera,1,70,11/03/1983 10:30,QSP,77_82_1_QSP, , ,1042,15.8,80.7, ,330,, ,4.164,315,0.4979,119.6,16.5,218,527,7.0524
77,82,Quercus coccifera,1,70,11/03/1983 17:00,QSP,77_82_1_QSP, , ,1042,21.8,59.8, ,330,, ,10.675,318,0.827,77.5,22.1,204,630,5.3222
77,82,Quercus coccifera,1,70,11/03/1983 11:00,QSP,77_82_1_QSP, , ,1042,17.4,75.6, ,330,, ,5.84,315,0.8219,140.8,18.3,220,857,8.1002
77,82,Quercus coccifera,1,70,11/03/1983 16:30,QSP,77_82_1_QSP, , ,1042,23.1,59.5, ,330,, ,11.8,315,1.1787,99.9,23.5,194,874,7.2665
77,82,Quercus coccifera,1,70,11/03/1983 16:00,QSP,77_82_1_QSP, , ,1042,25,57.9, ,330,, ,13.521,314,1.4921,110.4,25.3,211,1147,6.683
77,82,Quercus coccifera,1,70,11/03/1983 15:00,QSP,77_82_1_QSP, , ,1042,26.9,57.3, ,330,, ,15.741,310,2.4581,156.2,27.4,218,1205,8.3851
77,82,Quercus coccifera,1,70,11/03/1983 11:30,QSP,77_82_1_QSP, , ,1042,19,71.5, ,330,, ,7.74,312,0.9452,122.1,20.2,197,1260,8.5454
77,82,Quercus coccifera,1,70,11/03/1983 12:02,QSP,77_82_1_QSP, , ,1042,20.9,65.5, ,330,, ,10.438,310,1.2896,123.6,22.3,183,1283,9.5427
77,82,Quercus coccifera,1,70,11/03/1983 15:33,QSP,77_82_1_QSP, , ,1042,24.5,60, ,330,, ,12.679,311,1.8532,146.2,24.9,209,1288,8.7837
77,82,Quercus coccifera,1,70,11/03/1983 12:30,QSP,77_82_1_QSP, , ,1042,23.4,62.2, ,330,, ,13.763,309,2.1646,157.3,25.2,193,1479,10.9201
77,82,Quercus coccifera,1,70,11/03/1983 13:00,QSP,77_82_1_QSP, , ,1042,26.5,56.7, ,330,, ,18.098,308,2.9652,163.8,28.2,205,1580,9.7689
77,82,Quercus coccifera,1,70,11/03/1983 13:30,QSP,77_82_1_QSP, , ,1042,28.6,55.4, ,330,, ,20.652,309,3.7826,183.2,30.2,219,1598,9.2346
77,82,Quercus coccifera,1,70,11/03/1983 14:30,QSP,77_82_1_QSP, , ,1042,28.7,56, ,330,, ,20.299,310,3.7725,185.8,30.2,218,1624,9.6955
77,82,Quercus coccifera,1,70,11/03/1983 14:00,QSP,77_82_1_QSP, , ,1042,28.4,55.7, ,330,, ,20.07,309,3.4912,174,29.9,217,1659,9.061
334,101,Quercus faginea,1,204,23/07/1983 19:36,QSP,334_101_1_QSP,, ,1040,20.9,77.4,73.8,350,,21.38,5.455,349,0.0384,7,20.91,273,26,0.3246
334,101,Quercus faginea,1,204,23/07/1983 19:32,QSP,334_101_1_QSP,, ,1040,20.95,77.3,73.1,350,,21.55,5.526,349,0.0378,6.8,20.98,249,34,0.417
334,101,Quercus faginea,1,204,23/07/1983 19:28,QSP,334_101_1_QSP,, ,1040,21.05,77.1,72.4,350,,21.73,5.668,349,0.0368,6.5,21.12,226,40,0.4864
334,101,Quercus faginea,1,204,23/07/1983 19:24,QSP,334_101_1_QSP,, ,1040,21.1,76.7,71.8,350,,21.91,5.813,348,0.0474,8.1,21.19,221,48,0.6371
334,101,Quercus faginea,1,204,23/07/1983 19:20,QSP,334_101_1_QSP,, ,1040,21.2,76.5,71.1,350,,22.09,5.959,348,0.0372,6.2,21.33,173,54,0.6731
334,101,Quercus faginea,1,204,23/07/1983 19:16,QSP,334_101_1_QSP,, ,1040,21.3,76.3,70.5,350,,22.27,5.999,348,0.0427,7.1,21.4,177,60,0.7536
334,101,Quercus faginea,1,204,23/07/1983 19:12,QSP,334_101_1_QSP,, ,1040,21.4,75.9,69.8,350,,22.45,6.196,348,0.0483,7.8,21.54,166,66,0.872
334,101,Quercus faginea,1,204,23/07/1983 19:08,QSP,334_101_1_QSP,, ,1040,21.55,75.4,69.1,350,,22.63,6.255,348,0.049,7.8,21.61,153,74,0.9429
334,101,Quercus faginea,1,204,23/07/1983 19:04,QSP,334_101_1_QSP,, ,1040,21.65,75,68.5,350,,22.8,6.456,347,0.0572,8.9,21.75,158,80,1.0317
334,101,Quercus faginea,1,204,23/07/1983 19:00,QSP,334_101_1_QSP,, ,1040,21.75,74.7,67.8,350,,22.98,6.525,347,0.0531,8.1,21.82,120,86,1.1412
334,101,Quercus faginea,1,204,23/07/1983 18:56,QSP,334_101_1_QSP,, ,1040,21.85,73.9,67.2,350,,23.16,6.831,347,0.0642,9.4,21.96,123,94,1.2976
334,101,Quercus faginea,1,204,23/07/1983 18:52,QSP,334_101_1_QSP,, ,1040,21.95,73.3,66.5,350,,23.34,6.98,347,0.0705,10.1,22.03,143,102,1.2665
334,101,Quercus faginea,1,204,23/07/1983 18:48,QSP,334_101_1_QSP,, ,1040,22.1,72.7,65.9,350,,23.52,7.295,346,0.0767,10.5,22.24,125,108,1.4391
334,101,Quercus faginea,1,204,23/07/1983 18:44,QSP,334_101_1_QSP,, ,1040,22.25,72,65.2,350,,23.7,7.528,347,0.0828,11,22.38,132,118,1.4565
334,101,Quercus faginea,1,204,23/07/1983 06:36,QSP,334_101_1_QSP,, ,1040,17.4,78.2,75.7,350,,17.36,4.664,346,0.1328,28.5,17.76,235,120,1.9459
334,101,Quercus faginea,1,204,23/07/1983 06:40,QSP,334_101_1_QSP,, ,1040,17.6,78.3,76.1,350,,17.56,4.715,348,0.0567,12,17.97,227,124,0.8977
334,101,Quercus faginea,1,204,23/07/1983 18:40,QSP,334_101_1_QSP,, ,1040,22.35,71.3,64.5,350,,23.87,7.71,346,0.0911,11.8,22.45,129,124,1.5827
334,101,Quercus faginea,1,204,23/07/1983 18:36,QSP,334_101_1_QSP,, ,1040,22.5,70.7,63.9,350,,24.05,7.924,346,0.0976,12.3,22.59,142,140,1.5515
334,101,Quercus faginea,1,204,23/07/1983 18:32,QSP,334_101_1_QSP,, ,1040,22.7,69.6,63.2,350,,24.23,8.332,345,0.107,12.8,22.8,134,144,1.6722
334,101,Quercus faginea,1,204,23/07/1983 18:24,QSP,334_101_1_QSP,, ,1040,23.2,67.9,61.9,350,,24.59,8.924,345,0.1357,15.2,23.22,157,146,1.7527
334,101,Quercus faginea,1,204,23/07/1983 06:44,QSP,334_101_1_QSP,, ,1040,17.8,78.8,76.5,350,,17.76,4.688,349,0.0398,8.5,18.18,220,150,0.6715
334,101,Quercus faginea,1,204,23/07/1983 18:28,QSP,334_101_1_QSP,, ,1040,23,68.8,62.6,350,,24.41,8.554,345,0.1107,12.9,23.01,125,152,1.7556
334,101,Quercus faginea,1,204,23/07/1983 06:52,QSP,334_101_1_QSP,, ,1040,18.2,80.5,77.3,350,,18.17,4.486,347,0.0572,12.8,18.6,131,156,1.706
334,101,Quercus faginea,1,204,23/07/1983 07:00,QSP,334_101_1_QSP,, ,1040,18.55,82,78.1,350,,18.58,4.179,345,0.1023,24.5,18.88,189,160,2.357
334,101,Quercus faginea,1,204,23/07/1983 18:20,QSP,334_101_1_QSP,, ,1040,23.5,66.9,61.2,350,,24.77,9.454,345,0.1517,16,23.57,163,160,1.79
334,101,Quercus faginea,1,204,23/07/1983 06:56,QSP,334_101_1_QSP,, ,1040,18.4,81.4,77.7,350,,18.38,4.277,346,0.0801,18.7,18.74,165,162,2.0903
334,101,Quercus faginea,1,204,23/07/1983 07:40,QSP,334_101_1_QSP,, ,1040,20.5,83,79.6,350,,21.01,4.593,344,0.1412,30.7,20.91,204,164,2.6494
334,101,Quercus faginea,1,204,23/07/1983 06:48,QSP,334_101_1_QSP,, ,1040,18,79.4,76.9,350,,17.97,4.639,348,0.0391,8.4,18.39,144,172,1.0642
334,101,Quercus faginea,1,204,23/07/1983 07:08,QSP,334_101_1_QSP,, ,1040,18.85,82.8,78.9,350,,18.99,4.155,345,0.1122,27,19.23,192,172,2.5479
334,101,Quercus faginea,1,204,23/07/1983 18:08,QSP,334_101_1_QSP,, ,1040,24.65,63.9,59.3,350,,25.3,11.108,345,0.2524,22.7,24.76,188,172,2.1631
334,101,Quercus faginea,1,204,23/07/1983 18:12,QSP,334_101_1_QSP,, ,1040,24.2,64.8,59.9,350,,25.12,10.602,345,0.1905,18,24.34,161,174,2.0104
334,101,Quercus faginea,1,204,23/07/1983 07:04,QSP,334_101_1_QSP,, ,1040,18.7,82.5,78.5,350,,18.79,4.193,344,0.1104,26.3,19.09,192,182,2.4715
334,101,Quercus faginea,1,204,23/07/1983 18:16,QSP,334_101_1_QSP,, ,1040,23.85,65.8,60.6,350,,24.94,9.851,344,0.1703,17.3,23.85,152,182,2.0317
334,101,Quercus faginea,1,204,23/07/1983 07:12,QSP,334_101_1_QSP,, ,1040,19.05,83,79.3,350,,19.2,4.177,345,0.1192,28.5,19.44,194,184,2.653
334,101,Quercus faginea,1,204,23/07/1983 07:16,QSP,334_101_1_QSP,, ,1040,19.2,83.2,79.7,350,,19.4,4.255,344,0.1303,30.6,19.65,185,196,3.0086
334,101,Quercus faginea,1,204,23/07/1983 07:44,QSP,334_101_1_QSP,, ,1040,20.45,82.7,77.5,350,,21.6,4.62,343,0.2052,44.4,20.84,221,216,3.3306
334,101,Quercus faginea,1,204,23/07/1983 07:20,QSP,334_101_1_QSP,, ,1040,19.4,83.6,80.1,350,,19.61,4.234,344,0.1238,29.2,19.86,184,226,2.8822
334,101,Quercus faginea,1,204,23/07/1983 07:24,QSP,334_101_1_QSP,, ,1040,19.65,83.8,80.5,350,,19.81,4.198,343,0.1471,35,20.07,178,240,3.5606
334,101,Quercus faginea,1,204,23/07/1983 18:04,QSP,334_101_1_QSP,, ,1040,25.05,63,58.6,350,,25.48,11.822,343,0.3059,25.9,25.25,151,264,3.0282
334,101,Quercus faginea,1,204,23/07/1983 18:00,QSP,334_101_1_QSP,, ,1040,25.3,62.5,57.9,350,,25.66,12.212,342,0.3214,26.3,25.53,150,290,3.0808
334,101,Quercus faginea,1,204,23/07/1983 17:52,QSP,334_101_1_QSP,, ,1040,25.75,61,56.6,350,,26.02,12.832,343,0.3875,30.2,25.88,162,306,3.3166
334,101,Quercus faginea,1,204,23/07/1983 17:56,QSP,334_101_1_QSP,, ,1040,25.6,62,57.3,350,,25.84,12.686,342,0.3335,26.3,25.88,151,354,3.0441
334,101,Quercus faginea,1,204,23/07/1983 17:48,QSP,334_101_1_QSP,, ,1040,25.95,60.8,56,350,,26.19,13.343,341,0.458,34.3,26.23,162,360,3.7236
334,101,Quercus faginea,1,204,23/07/1983 17:44,QSP,334_101_1_QSP,, ,1040,26,61.2,55.3,350,,26.37,13.428,339,0.4479,33.4,26.37,138,404,4.0944
334,101,Quercus faginea,1,204,23/07/1983 17:20,QSP,334_101_1_QSP,, ,1040,28,55.1,51.8,350,,27.72,17.401,341,0.5226,30,28.4,135,412,3.7464
334,101,Quercus faginea,1,204,23/07/1983 17:24,QSP,334_101_1_QSP,, ,1040,27.6,56.5,52.4,350,,27.48,16.606,340,0.4958,29.9,28.05,135,418,3.7036
334,101,Quercus faginea,1,204,23/07/1983 17:16,QSP,334_101_1_QSP,, ,1040,28.5,53.3,51.2,350,,27.95,18.728,342,0.5206,27.8,28.96,139,426,3.4084
334,101,Quercus faginea,1,204,23/07/1983 09:08,QSP,334_101_1_QSP,, ,1040,30.9,48.8,44.9,350,,31.29,23.21,341,0.7728,33.3,31.27,152,464,3.7391
334,101,Quercus faginea,1,204,23/07/1983 09:04,QSP,334_101_1_QSP,, ,1040,31.85,49.9,45.2,350,,31.14,23.879,338,1.3557,56.8,32.18,186,522,5.0246
334,101,Quercus faginea,1,204,23/07/1983 07:48,QSP,334_101_1_QSP,, ,1040,20.95,82.8,75.5,350,,22.18,5.043,339,0.2641,52.4,21.54,184,540,5.0183
334,101,Quercus faginea,1,204,23/07/1983 09:16,QSP,334_101_1_QSP,, ,1040,30.7,51.3,44.4,350,,31.59,22.376,338,1.1197,50,31.27,175,686,4.7832
334,101,Quercus faginea,1,204,23/07/1983 07:52,QSP,334_101_1_QSP,, ,1040,21.25,82.9,73.4,350,,22.77,5.188,343,0.2108,40.6,21.89,201,768,3.534
334,101,Quercus faginea,1,204,23/07/1983 17:12,QSP,334_101_1_QSP,, ,1040,29.25,52.3,50.7,350,,28.19,19.345,342,0.604,31.2,29.45,175,806,3.0988
334,101,Quercus faginea,1,204,23/07/1983 07:56,QSP,334_101_1_QSP,, ,1040,21.65,82.2,71.3,350,,23.36,6.086,340,0.2412,39.6,22.66,167,812,4.2016
334,101,Quercus faginea,1,204,23/07/1983 09:52,QSP,334_101_1_QSP,, ,1040,32.75,48.5,41.9,350,,32.93,26.6,336,1.7226,64.8,33.37,188,820,5.5271
334,101,Quercus faginea,1,204,23/07/1983 08:00,QSP,334_101_1_QSP,, ,1040,22.55,80.7,69.3,350,,23.95,7.074,339,0.3408,48.2,23.71,164,846,5.188
334,101,Quercus faginea,1,204,23/07/1983 08:04,QSP,334_101_1_QSP,, ,1040,23.6,78,67.2,350,,24.53,8.414,338,0.4455,52.9,24.83,166,890,5.5916
334,101,Quercus faginea,1,204,23/07/1983 17:08,QSP,334_101_1_QSP,, ,1040,29.5,52,50.1,350,,28.42,19.652,341,0.6396,32.5,29.66,165,904,3.4229
334,101,Quercus faginea,1,204,23/07/1983 17:04,QSP,334_101_1_QSP,, ,1040,29.5,52,49.5,350,,28.65,19.816,340,0.6721,33.9,29.73,161,932,3.6251
334,101,Quercus faginea,1,203,23/07/1983 08:08,QSP,334_101_1_QSP,, ,1040,24.65,74.2,65.2,350,,25.12,10.361,337,0.5788,55.9,26.02,169,952,5.7375
334,101,Quercus faginea,1,204,23/07/1983 17:00,QSP,334_101_1_QSP,, ,1040,29.6,51.2,49,350,,28.89,20.182,341,0.7036,34.9,29.8,160,958,3.7605
334,101,Quercus faginea,1,204,23/07/1983 16:56,QSP,334_101_1_QSP,, ,1040,30.05,50.9,48.4,350,,29.12,20.762,341,0.7694,37.1,30.22,167,1000,3.8303
334,101,Quercus faginea,1,204,23/07/1983 16:52,QSP,334_101_1_QSP,, ,1040,30.4,50.6,47.8,350,,29.35,21.308,339,0.8297,38.9,30.57,164,1020,4.0543
334,101,Quercus faginea,1,204,23/07/1983 08:20,QSP,334_101_1_QSP,, ,1040,27.7,64,59,350,,26.88,16.092,336,0.9008,56,29.1,167,1030,5.7044
334,101,Quercus faginea,1,204,23/07/1983 08:12,QSP,334_101_1_QSP,, ,1040,25.8,71.3,63.1,350,,25.71,12.235,335,0.6925,56.6,27.28,161,1032,5.9858
334,101,Quercus faginea,1,204,23/07/1983 16:48,QSP,334_101_1_QSP,, ,1040,30.85,50.6,47.3,350,,29.59,21.962,339,0.8462,38.5,31.06,169,1056,3.8789
334,101,Quercus faginea,1,204,23/07/1983 16:44,QSP,334_101_1_QSP,, ,1040,31.25,49.7,46.7,350,,29.82,22.738,339,0.9321,41,31.41,172,1078,4.0531
334,101,Quercus faginea,1,204,23/07/1983 16:40,QSP,334_101_1_QSP,, ,1040,31.65,48.7,46.1,350,,30.05,23.584,340,1,42.4,31.76,176,1118,4.0913
334,101,Quercus faginea,1,204,23/07/1983 08:16,QSP,334_101_1_QSP,, ,1040,26.9,67.3,61,350,,26.29,14.607,335,0.8485,58.1,28.47,158,1132,6.2196
334,101,Quercus faginea,1,204,23/07/1983 16:36,QSP,334_101_1_QSP,, ,1040,31.9,48.9,45.5,350,,30.29,24.09,339,1.0628,44.1,32.11,176,1150,4.2202
334,101,Quercus faginea,1,204,23/07/1983 16:32,QSP,334_101_1_QSP,, ,1040,32.1,49.1,45,350,,30.52,24.297,338,1.2089,49.8,32.32,173,1176,4.802
334,101,Quercus faginea,1,204,23/07/1983 08:24,QSP,334_101_1_QSP,, ,1040,28.45,61.9,56.9,350,,27.47,18.131,335,0.9475,52.3,30.08,149,1194,5.8334
334,101,Quercus faginea,1,204,23/07/1983 16:28,QSP,334_101_1_QSP,, ,1040,32.25,49.1,44.4,350,,30.76,24.664,337,1.1516,46.7,32.53,178,1198,4.3558
334,101,Quercus faginea,1,204,23/07/1983 16:24,QSP,334_101_1_QSP,, ,1040,32.45,48.6,43.8,350,,30.99,25.018,338,1.2625,50.5,32.67,181,1222,4.6304
334,101,Quercus faginea,1,204,23/07/1983 16:20,QSP,334_101_1_QSP,, ,1040,32.3,49.7,43.3,350,,31.22,24.505,335,1.2122,49.5,32.6,176,1248,4.608
334,101,Quercus faginea,1,204,23/07/1983 10:24,QSP,334_101_1_QSP,, ,1040,32.65,49.6,39.6,350,,34.12,27.995,337,1.4567,52,34,164,1270,5.2612
