record,time,date,SampleID,Remove,A,gsw,Ci,VPDleaf,Tair,Tleaf,CO2r,CO2s,H2Or,H2Os,RHs,flow,Qin,Patm
22,12:03:06,20230906,BNL19782,NO,-1.1,36,460,1.25,29.78,31.04,418.83,419.91,32.166,32.705,77.7,500,0,99.91
1,10:24:10,20230907,BNL19790,YES,14.7,241,307,1.38,30.14,31.38,439.29,420,28.559,32.264,75.19,499.6,2000,100.1
2,11:24:04,20230907,BNL19790,YES,17.3,326,317,1.53,32.81,33.57,443.3,420.1,31.45,36.864,73.74,499.7,2000,99.98
3,11:25:05,20230907,BNL19790,YES,17.4,327,317,1.53,32.81,33.56,443.31,420.1,31.434,36.86,73.73,499.7,2000,99.98
4,11:26:06,20230907,BNL19790,NO,17.3,326,317,1.53,32.81,33.57,443.34,420.14,31.426,36.85,73.7,499.6,2000,99.98
5,11:27:07,20230907,BNL19790,NO,16.9,318,318,1.52,32.92,33.48,442.74,420.13,31.408,36.678,72.91,499.7,1800,99.98
6,11:28:08,20230907,BNL19790,NO,16.3,302,317,1.52,33.13,33.36,441.8,420.08,31.376,36.391,71.51,499.6,1500,99.98
7,11:29:09,20230907,BNL19790,NO,15.4,286,317,1.53,33.34,33.29,440.65,420.07,31.311,36.114,70.11,499.7,1251,99.98
8,11:30:22,20230907,BNL19790,NO,14.5,269,318,1.55,33.74,33.28,439.44,420.07,31.226,35.842,68.08,499.7,1001,99.98
9,11:31:23,20230907,BNL19790,NO,12.9,253,322,1.58,34.07,33.32,437.36,419.9,31.163,35.612,66.4,499.7,750,99.98
10,11:32:24,20230907,BNL19790,NO,11.8,241,326,1.62,34.33,33.41,436.04,420,31.088,35.451,65.13,499.7,601,99.98
11,11:33:25,20230907,BNL19790,NO,10.6,231,331,1.65,34.39,33.44,434.72,420.14,31.037,35.299,64.62,499.7,499,99.98
12,11:34:26,20230907,BNL19790,NO,9.01,222,340,1.66,34.43,33.44,432.55,419.93,30.994,35.138,64.21,499.7,376,99.98
13,11:35:27,20230907,BNL19790,NO,6.51,214,357,1.67,34.53,33.4,429.65,420.08,30.954,34.976,63.53,499.7,250,99.98
14,11:36:28,20230907,BNL19790,NO,4.86,206,369,1.68,34.55,33.39,427.5,419.97,30.931,34.839,63.21,499.7,180,99.98
15,11:37:29,20230907,BNL19790,NO,3.24,200,381,1.69,34.57,33.39,425.47,419.91,30.923,34.745,63,499.7,125,99.98
16,11:38:30,20230907,BNL19790,NO,2.56,195,387,1.69,34.57,33.38,424.81,420.11,30.914,34.662,62.83,499.7,101,99.97
17,11:39:31,20230907,BNL19790,NO,1.59,190,394,1.7,34.57,33.37,423.56,420.06,30.91,34.579,62.69,499.7,75,99.97
18,11:40:32,20230907,BNL19790,NO,1.11,185,398,1.71,34.57,33.37,423.01,420.11,30.905,34.507,62.56,499.7,60,99.97
19,11:41:33,20230907,BNL19790,NO,0.725,181,402,1.71,34.57,33.37,422.53,420.12,30.91,34.452,62.45,499.7,50,99.97
20,11:42:34,20230907,BNL19790,NO,-0.139,178,410,1.71,34.57,33.34,421.49,420.15,30.923,34.389,62.33,499.7,30,99.97
21,11:43:35,20230907,BNL19790,NO,-0.6,173,414,1.73,34.66,33.39,420.91,420.14,30.939,34.356,61.96,499.7,21,99.96
22,11:44:36,20230907,BNL19790,NO,-1.65,169,425,1.73,34.68,33.39,419.77,420.3,30.958,34.314,61.8,499.7,1,99.96
1,08:08:36,20230907,BNL19788,YES,-1.93,2.56,1640,1.29,25.76,25.49,449.31,451.61,19.858,19.898,59.69,500.1,0,99.79
2,09:14:43,20230907,BNL19788,YES,13.3,155,264,2.27,32.45,33.95,437.79,420.13,26.542,30.591,62.43,500,2000,99.94
3,09:16:11,20230907,BNL19788,YES,13.2,151,261,2.3,32.47,34.05,437.63,420.11,26.567,30.567,62.3,500,1999,99.94
4,09:17:20,20230907,BNL19788,NO,13,163,274,2.12,32.49,33.44,437.4,420.11,26.567,30.546,62.17,500.1,1999,99.94
5,09:18:21,20230907,BNL19788,NO,13,146,259,2.24,32.49,33.76,437.36,420.14,26.574,30.362,61.81,500,1801,99.94
6,09:19:22,20230907,BNL19788,NO,12.8,155,269,1.99,32.49,32.82,436.82,419.88,26.589,30.129,61.35,500.1,1501,99.95
7,09:20:23,20230907,BNL19788,NO,12.6,144,263,1.98,32.47,32.71,436.52,420.02,26.604,29.904,60.97,500,1251,99.95
8,09:21:24,20230907,BNL19788,NO,12.4,144,265,1.85,32.45,32.19,435.96,419.7,26.637,29.726,60.66,500,1000,99.95
9,09:22:25,20230907,BNL19788,NO,11.7,150,280,1.72,32.43,31.66,435.28,420,26.644,29.616,60.49,500.1,750,99.95
10,09:23:26,20230907,BNL19788,NO,11,146,284,1.65,32.4,31.3,434.31,419.92,26.642,29.411,60.19,500.1,599,99.95
11,09:24:27,20230907,BNL19788,NO,10.4,147,292,1.62,32.39,31.19,433.74,420.01,26.625,29.378,60.16,500,500,99.95
12,09:25:28,20230907,BNL19788,NO,9.23,144,304,1.53,32.36,30.75,432.13,419.95,26.61,29.16,59.8,500,375,99.95
13,09:26:29,20230907,BNL19788,NO,7.4,144,325,1.54,32.36,30.78,429.97,419.98,26.587,29.141,59.76,500,250,99.95
14,09:27:30,20230907,BNL19788,NO,5.87,140,340,1.52,32.35,30.65,428.12,420.01,26.582,29.03,59.58,500,179,99.95
15,09:28:31,20230907,BNL19788,NO,4.26,135,358,1.45,32.34,30.28,425.97,419.88,26.579,28.837,59.21,500,125,99.95
16,09:29:32,20230907,BNL19788,NO,3.58,126,363,1.44,32.34,30.22,425.21,420,26.601,28.708,58.95,500,101,99.95
17,09:30:33,20230907,BNL19788,NO,2.48,119,375,1.53,32.35,30.58,424.04,420.15,26.616,28.73,58.96,500,75,99.95
18,09:31:34,20230907,BNL19788,NO,1.87,111,382,1.54,32.34,30.57,423.12,420.02,26.635,28.63,58.77,500.1,59,99.95
19,09:32:35,20230907,BNL19788,NO,1.51,104,386,1.55,32.34,30.57,422.78,420.15,26.666,28.544,58.61,500,49,99.95
20,09:33:36,20230907,BNL19788,NO,0.653,96.7,399,1.55,32.34,30.55,421.7,420.15,26.678,28.437,58.39,500,31,99.95
21,09:34:37,20230907,BNL19788,NO,0.211,88,405,1.57,32.34,30.55,420.97,420.02,26.706,28.324,58.16,500.1,20,99.95
22,09:35:38,20230907,BNL19788,NO,-0.832,81.4,426,1.57,32.35,30.52,419.77,420.12,26.722,28.226,57.93,500.1,0,99.95
1,11:34:08,20230907,BNL19791,YES,9.83,97.5,243,2.18,32.49,35.12,433.54,420.66,32.615,35.111,71.41,500,2000,99.85
2,11:37:58,20230907,BNL19791,YES,9.81,95.5,238,2.25,32.19,35.37,432.83,419.95,32.647,35.179,72.79,500,1999,99.85
3,11:38:59,20230907,BNL19791,YES,9.79,94.9,238,2.2,31.84,35.19,432.97,420.16,32.661,35.118,74.09,500,2000,99.85
4,11:40:00,20230907,BNL19791,NO,9.9,96,238,2.16,31.77,35.05,433.11,420.17,32.655,35.093,74.34,500,2000,99.85
5,11:41:35,20230907,BNL19791,NO,9.74,98.1,245,2.09,32.3,34.8,433.04,420.31,32.635,35.04,72.03,500,1800,99.84
6,11:43:36,20230907,BNL19791,NO,9.67,97.9,246,2.1,33.55,34.82,432.55,419.89,32.588,35.002,67.05,500,1500,99.84
7,11:44:37,20230907,BNL19791,NO,9.31,88.4,235,2.17,33.5,35,432.21,420.06,32.584,34.843,66.95,500,1251,99.83
8,11:45:53,20230907,BNL19791,NO,8.67,85.9,243,2.13,34.37,34.82,431.23,419.9,32.577,34.731,63.57,500.1,1001,99.83
9,11:47:54,20230907,BNL19791,NO,8.12,77.7,237,2.15,35.38,34.81,430.83,420.22,32.515,34.488,59.68,500.1,751,99.82
10,11:49:02,20230907,BNL19791,NO,7.39,70.6,237,2.17,35.94,34.83,429.77,420.12,32.488,34.306,57.58,500.1,600,99.82
11,11:50:03,20230907,BNL19791,NO,6.8,63.5,234,2.2,36.19,34.88,429.2,420.31,32.496,34.158,56.55,500.1,500,99.82
12,11:51:05,20230907,BNL19791,NO,6,57.8,239,2.2,36.52,34.8,427.93,420.07,32.473,33.983,55.24,500.1,375,99.82
13,11:52:06,20230907,BNL19791,NO,4.93,51.6,252,2.26,36.94,34.96,426.79,420.28,32.448,33.838,53.74,500,250,99.82
14,11:53:07,20230907,BNL19791,NO,3.67,44.5,273,2.31,36.85,35.07,425.18,420.23,32.441,33.673,53.74,500.1,179,99.82
15,11:54:08,20230907,BNL19791,NO,2.61,38.9,297,2.3,36.76,34.98,423.33,419.73,32.415,33.488,53.72,500,124,99.81
16,11:55:09,20230907,BNL19791,NO,2.01,34.1,311,2.33,36.79,35.03,422.73,419.9,32.434,33.389,53.46,500.1,101,99.81
17,11:56:10,20230907,BNL19791,NO,1.27,29.9,337,2.35,36.81,35.09,421.88,419.99,32.485,33.331,53.3,500.1,75,99.8
18,11:57:11,20230907,BNL19791,NO,0.722,26.2,360,2.36,36.82,35.11,420.98,419.79,32.532,33.279,53.2,500.1,61,99.8
19,11:58:12,20230907,BNL19791,NO,0.53,22.8,367,2.37,36.83,35.12,420.78,419.86,32.577,33.23,53.09,500.1,51,99.79
20,11:59:13,20230907,BNL19791,NO,-0.583,20,450,2.37,36.84,35.12,419.79,420.24,32.616,33.189,52.99,500.1,29,99.79
21,12:00:14,20230907,BNL19791,NO,-0.968,17.3,492,2.38,36.84,35.12,419.22,420.17,32.641,33.14,52.91,500.1,21,99.78
22,12:01:15,20230907,BNL19791,NO,-2.12,15.7,617,2.37,36.84,35.09,417.89,420.23,32.653,33.104,52.84,500.1,1,99.78
1,14:39:45,20230907,BNL19793,YES,4.29,48.3,259,2.66,31.99,35.71,424.74,418.92,30.716,32.262,67.24,500.1,2000,99.54
2,14:41:21,20230907,BNL19793,YES,4.6,53.5,265,2.71,32,35.73,426.3,420.02,30.07,31.814,66.3,500,2000,99.54
3,14:42:22,20230907,BNL19793,YES,4.57,53.6,266,2.74,32,35.69,426.39,420.14,29.689,31.45,65.55,500,1999,99.54
4,14:43:37,20230907,BNL19793,NO,4.61,55.6,271,2.47,32,34.68,426.5,420.25,29.245,30.891,64.39,500.1,2000,99.54
5,14:44:38,20230907,BNL19793,NO,4.48,49,256,2.73,32,35.37,426.16,420.09,28.871,30.479,63.54,500,1801,99.53
6,14:45:39,20230907,BNL19793,NO,4.39,48.4,258,2.57,31.98,34.7,425.95,420.03,28.506,30,62.59,500,1502,99.53
7,14:46:40,20230907,BNL19793,NO,4.41,47.2,254,2.45,31.96,34.17,426.02,420.12,28.147,29.537,61.7,500,1251,99.53
8,14:47:41,20230907,BNL19793,NO,4.53,45.8,246,2.31,31.93,33.54,425.88,419.89,27.823,29.095,60.88,500,1001,99.52
9,14:48:42,20230907,BNL19793,NO,4.24,45.7,258,2.09,31.9,32.61,425.5,419.92,27.524,28.671,60.11,500.1,751,99.52
10,14:49:43,20230907,BNL19793,NO,4.21,44.2,254,2.03,31.86,32.27,425.49,419.97,27.248,28.326,59.5,500,600,99.51
11,14:50:44,20230907,BNL19793,NO,4.06,43.1,256,1.99,31.83,32,425.51,420.2,26.995,28.023,58.96,500,500,99.51
12,14:51:45,20230907,BNL19793,NO,3.83,41.6,260,1.94,31.8,31.73,424.91,419.9,26.773,27.742,58.46,500,375,99.5
13,14:52:46,20230907,BNL19793,NO,3.35,39.3,271,1.9,31.78,31.47,424.54,420.13,26.598,27.493,58,500,249,99.5
14,14:53:47,20230907,BNL19793,NO,2.96,37.8,282,1.87,31.77,31.27,423.77,419.85,26.462,27.31,57.66,500.1,180,99.5
15,14:54:48,20230907,BNL19793,NO,2.28,35.2,304,1.84,31.75,31.11,422.96,419.89,26.363,27.143,57.35,500,125,99.5
16,14:55:49,20230907,BNL19793,NO,1.85,32.2,316,1.83,31.74,31.02,422.51,419.98,26.277,26.986,57.06,500,100,99.49
17,14:56:50,20230907,BNL19793,NO,1.34,28.2,332,1.83,31.73,30.95,421.81,419.94,26.209,26.831,56.77,500,75,99.49
18,14:57:51,20230907,BNL19793,NO,0.838,24,352,1.83,31.72,30.91,421.44,420.2,26.17,26.701,56.51,500.1,59,99.49
19,14:58:52,20230907,BNL19793,NO,0.583,20.1,361,1.83,31.72,30.87,420.88,419.99,26.14,26.585,56.29,500,50,99.48
20,14:59:53,20230907,BNL19793,NO,0.00385,17.3,407,1.87,31.71,30.98,420.02,419.84,26.115,26.508,56.13,500,30,99.48
21,15:00:54,20230907,BNL19793,NO,-0.34,14.4,444,1.87,31.7,30.95,419.77,420.03,26.088,26.416,55.97,500,21,99.48
22,15:01:55,20230907,BNL19793,NO,-1.32,12,581,1.86,31.7,30.89,418.75,420.22,26.065,26.337,55.8,500,0,99.48
23,15:02:56,20230907,BNL19793,YES,0.485,12.3,340,2.65,31.77,33.78,421.19,420.43,26.063,26.459,55.84,500.1,1999,99.48
1,08:14:02,20230907,BNL19789,YES,245,249,-1550,1.74,25.9,25.96,419.09,123.72,11.449,16.266,48.52,499.7,1,100.1
2,09:07:59,20230907,BNL19789,NO,5.89,48.5,211,2.16,29.87,31.58,427.53,419.91,23.753,25.002,59.18,499.7,1999,100.1
3,09:09:00,20230907,BNL19789,NO,6.01,48.7,209,2.08,29.8,31.3,427.75,420.01,23.813,25.022,59.49,499.8,1801,100.1
4,09:11:02,20230907,BNL19789,NO,5.93,49.9,216,2.05,30.54,31.22,427.72,420.08,23.895,25.115,57.21,499.7,1500,100.1
5,09:12:18,20230907,BNL19789,NO,5.89,50.4,219,2.04,31.09,31.21,427.58,419.98,23.955,25.181,55.6,499.7,1251,100.1
6,09:13:44,20230907,BNL19789,NO,5.89,49.9,217,2.04,31.55,31.22,427.66,420.06,24.019,25.233,54.28,499.7,1000,100.1
7,09:15:10,20230907,BNL19789,NO,5.69,49.6,223,2.04,32,31.24,427.3,419.94,24.08,25.289,53,499.7,749,100.1
8,09:16:33,20230907,BNL19789,NO,5.39,48.7,229,2.03,32.39,31.21,426.88,419.9,24.132,25.312,51.92,499.7,500,100.1
9,09:17:34,20230907,BNL19789,NO,4.99,48.1,240,2.04,32.63,31.27,426.44,419.94,24.172,25.344,51.28,499.7,375,100.1
10,09:18:35,20230907,BNL19789,NO,4.39,47.2,257,2.05,32.83,31.28,425.66,419.89,24.205,25.356,50.72,499.7,249,100.1
11,09:19:36,20230907,BNL19789,NO,3.95,45.9,268,2.06,32.89,31.34,425.13,419.9,24.235,25.362,50.56,499.7,199,100.1
12,09:20:37,20230907,BNL19789,NO,3.32,44.8,288,2.07,32.93,31.37,424.52,420.05,24.262,25.366,50.46,499.7,150,100.1
13,09:21:38,20230907,BNL19789,NO,2.45,43.1,315,2.06,32.94,31.33,423.28,419.88,24.277,25.338,50.37,499.7,101,100.1
14,09:22:39,20230907,BNL19789,NO,1.8,41.9,338,2.06,32.94,31.31,422.71,420.11,24.291,25.32,50.34,499.7,75,100.1
15,09:23:40,20230907,BNL19789,NO,1.19,40.4,359,2.06,32.94,31.31,421.8,419.94,24.302,25.296,50.29,499.7,51,100.1
16,09:24:41,20230907,BNL19789,NO,0.0154,39.1,405,2.05,32.95,31.28,420.48,420.05,24.311,25.271,50.22,499.7,19,100.1
17,09:25:42,20230907,BNL19789,NO,-0.864,38.5,442,2.06,33.08,31.3,419.57,420.2,24.311,25.258,49.84,499.7,1,100.1
1,09:29:03,20230908,BNL19794,YES,3.05,24.4,210,1.59,29.65,31.36,423.92,420.06,29.684,30.148,72.22,499.7,1800,100
2,09:54:14,20230908,BNL19794,YES,4.13,37.7,234,1.57,29.79,31.87,425.13,419.86,30.967,31.675,75.28,499.7,1999,100
3,09:55:15,20230908,BNL19794,YES,4.19,37.7,232,1.57,29.79,31.88,425.3,419.97,31.026,31.732,75.41,499.6,1999,100
4,09:56:16,20230908,BNL19794,NO,4.16,38.3,236,1.56,29.79,31.86,425.34,420.04,31.077,31.789,75.53,499.7,1999,100
5,09:57:17,20230908,BNL19794,NO,4.17,37.5,232,1.51,29.78,31.68,425.36,420.06,31.12,31.796,75.58,499.7,1800,100
6,09:58:18,20230908,BNL19794,NO,4.2,36.8,228,1.43,29.77,31.39,425.45,420.13,31.163,31.793,75.62,499.7,1501,100
7,09:59:19,20230908,BNL19794,NO,4.24,35.7,221,1.36,29.75,31.12,425.49,420.14,31.203,31.785,75.68,499.7,1251,100
8,10:00:20,20230908,BNL19794,NO,4.22,34.8,217,1.3,29.75,30.9,425.35,420.05,31.271,31.812,75.76,499.7,999,100
9,10:01:21,20230908,BNL19794,NO,4.18,33.7,213,1.24,29.74,30.65,425.27,420.04,31.339,31.837,75.88,499.7,749,100
10,10:02:22,20230908,BNL19794,NO,4.22,32.3,202,1.18,29.71,30.46,425.16,419.89,31.421,31.878,76.09,499.7,601,100
11,10:03:23,20230908,BNL19794,NO,4.08,31.5,204,1.14,29.68,30.3,425.06,419.97,31.493,31.922,76.33,499.7,499,100
12,10:04:24,20230908,BNL19794,NO,3.89,30.8,210,1.1,29.66,30.15,424.75,419.9,31.566,31.97,76.52,499.7,375,100
13,10:05:25,20230908,BNL19794,NO,3.44,29.9,229,1.06,29.65,30.03,424.35,420.06,31.639,32.019,76.67,499.6,251,100
14,10:06:26,20230908,BNL19794,NO,2.92,28.6,249,1.04,29.64,29.92,423.66,419.99,31.701,32.055,76.83,499.7,180,100
15,10:07:27,20230908,BNL19794,NO,2.36,27.9,278,1.02,29.64,29.88,423.16,420.19,31.779,32.119,76.97,499.7,125,100
16,10:08:28,20230908,BNL19794,NO,2.03,26,288,1.01,29.63,29.85,422.59,420.01,31.836,32.15,77.08,499.7,101,100
17,10:09:29,20230908,BNL19794,NO,1.54,24.8,314,1,29.64,29.85,422.13,420.15,31.905,32.202,77.17,499.7,76,100
18,10:10:30,20230908,BNL19794,NO,1.29,23.2,324,1,29.66,29.88,421.53,419.85,31.977,32.256,77.21,499.7,61,100
19,10:11:31,20230908,BNL19794,NO,0.97,22.4,344,1.01,29.68,29.93,421.38,420.09,32.05,32.322,77.26,499.7,50,100
20,10:12:32,20230908,BNL19794,NO,0.378,21.9,385,1.02,29.72,30,420.6,420.03,32.122,32.39,77.25,499.7,30,100
21,10:13:33,20230908,BNL19794,NO,0.121,20.3,403,1.04,29.76,30.08,420.26,420,32.201,32.452,77.23,499.7,21,100
22,10:14:34,20230908,BNL19794,NO,-0.654,18.7,469,1.03,29.79,30.09,419.45,420.13,32.284,32.515,77.25,499.7,3,100
23,10:15:37,20230908,BNL19794,YES,2.74,24.2,229,1.5,29.9,32.02,423.31,419.83,32.373,32.808,77.47,499.7,1999,100
1,09:18:05,20230908,BNL19792,YES,9.24,87.1,234,2.14,30.19,34.04,431.66,419.62,30.023,32.216,74.7,500.1,2001,99.89
2,09:38:47,20230908,BNL19792,YES,10,97.5,240,2.04,30.27,34.22,433.16,420.12,31.372,33.708,77.81,500.1,2000,99.89
3,09:39:48,20230908,BNL19792,YES,9.98,104,251,1.92,30.28,33.83,433.02,420.04,31.413,33.75,77.88,500,1999,99.89
4,09:40:49,20230908,BNL19792,NO,9.81,102,252,1.79,30.28,33.32,432.51,419.8,31.462,33.604,77.51,500.1,1999,99.89
5,09:41:50,20230908,BNL19792,NO,9.89,101,249,1.72,30.28,33.05,432.83,420.08,31.512,33.536,77.37,500,1801,99.89
6,09:42:51,20230908,BNL19792,NO,9.81,99.4,249,1.6,30.27,32.58,432.65,420.08,31.558,33.414,77.14,500,1501,99.89
7,09:43:52,20230908,BNL19792,NO,9.8,90.4,233,1.66,30.26,32.8,432.52,420,31.615,33.378,77.1,500,1250,99.89
8,09:44:53,20230908,BNL19792,NO,9.54,89.2,236,1.52,30.24,32.24,432.1,419.97,31.672,33.263,76.91,500.1,1001,99.89
9,09:45:54,20230908,BNL19792,NO,9.39,84.8,231,1.39,30.22,31.71,431.7,419.84,31.74,33.125,76.68,500.1,751,99.89
10,09:46:55,20230908,BNL19792,NO,8.7,79.7,234,1.31,30.21,31.37,430.97,420,31.798,33.024,76.51,500,600,99.89
11,09:47:56,20230908,BNL19792,NO,8.09,71.8,229,1.26,30.2,31.16,430.02,419.85,31.864,32.933,76.35,500.1,500,99.88
12,09:48:58,20230908,BNL19792,NO,7,61.4,228,1.2,30.18,30.87,428.74,419.97,31.917,32.792,76.06,500,375,99.88
13,09:49:59,20230908,BNL19792,NO,5.43,49.3,235,1.15,30.17,30.61,426.63,419.82,31.973,32.646,75.8,500.1,249,99.88
14,09:51:00,20230908,BNL19792,NO,4,36.6,237,1.12,30.15,30.43,425.15,420.14,32.026,32.515,75.58,500,179,99.89
15,09:52:13,20230908,BNL19792,NO,2.77,24.5,233,1.1,30.14,30.32,424.1,420.64,32.088,32.412,75.37,500.1,125,99.88
16,09:53:14,20230908,BNL19792,NO,1.92,16.4,227,1.09,30.14,30.25,422.36,419.96,32.143,32.359,75.27,500.1,100,99.88
17,09:54:15,20230908,BNL19792,NO,1.02,9.52,243,1.08,30.13,30.21,421.68,420.41,32.208,32.332,75.23,500,74,99.88
18,09:55:16,20230908,BNL19792,NO,0.603,5.39,235,1.08,30.13,30.2,420.92,420.16,32.271,32.341,75.24,500,60,99.88
19,09:56:17,20230908,BNL19792,NO,0.376,2.74,194,1.08,30.14,30.21,420.31,419.85,32.344,32.38,75.29,500,50,99.87
20,09:57:18,20230908,BNL19792,NO,0.0696,0.836,280,1.08,30.16,30.24,419.85,419.77,32.451,32.461,75.4,500.1,29,99.87
21,09:58:19,20230908,BNL19792,YES,-0.294,-0.286,-1220,1.07,30.16,30.23,419.57,419.92,32.53,32.526,75.55,500.1,20,99.88
